año,developer
2015,Bethesda Game Studios
2015,Eforb
2015,Avalanche Software
2015,Telltale Games
2013,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai"
2015,Turtle Rock Studios
2014,Freejam
2015,Bohemia Interactive
2015,X-Legend
2015,Vae Victis Games
2015,Facepunch Studios
2014,Poppermost Productions
2014,Shiro Games
2015,Team 6 Studios
2015,Haemimont Games
2015,"Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
2015,Ubisoft
2015,"Mario von Rickenbach,Michael Frei"
2015,FreakZone Games
2015,"FromSoftware, Inc."
2015,"NetherRealm Studios,High Voltage Software"
2015,"M2H,Blackmill Games"
2015,Hyper Hippo Games
2015,"Firaxis Games,Aspyr (Mac, Linux)"
2015,Valve
2015,Bohemia Interactive
2015,City Interactive
2014,FromSoftware
2014,Genee Network
2015,Valve
2013,Eyedentity Games Inc.
2015,Rocksteady Studios
2015,Freejam
2015,Daybreak Game Company
2015,Elecorn
2014,Handyman Studios
2015,"Sledgehammer Games,Raven Software"
2015,Facepunch Studios
2015,Ubisoft Montreal
2015,Bohemia Interactive
2015,Nexon
2015,"Syrin Studios,Small Impact Games"
2015,"Double Helix Games,Capcom"
2015,Bohemia Interactive
2014,Meridian4
2014,"Creative Assembly, PC Port - Hardlight"
2014,Ubisoft
2014,DICE
2015,Room710Games
2015,Childish Things
2013,Team17 Digital Ltd
2013,"Monochrome, Inc"
2015,"IMCGAMES Co.,Ltd."
2015,Freejam
2015,Turtle Rock Studios
2015,"Elias Viglione,Jussi Kukkonen"
2015,Double Fine Productions
2015,Star Maid Games
2014,Valve
2015,Valve
2015,Tomasz Wacławek
2014,Valve
2015,Trendy Entertainment
2015,Trashmasters
2015,Shumkov Dmitriy
2015,Obsidian Entertainment
2015,Egosoft
2013,Kalypso Media Digital
2015,BurstRay Games
2015,"Fortress Forever Development Team,Trepid Studios"
2015,"Jetdogs Studios,Zoom Out Games"
2015,Ubisoft
2015,Hello Games
2014,Edge of Reality
2015,Massive Entertainment
2015,Valve
2015,Coffee Stain Studios
2014,"Trek Industries, Inc"
2013,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)"
2015,Facepunch Studios
2014,Daedalic Entertainment
2014,Frogdice
2014,Gl33k
2015,tobyfox
2015,Turtle Rock Studios
2014,Orion Games
2015,Wild Shadow Studios
2015,Valve
2015,Bohemia Interactive
2015,Entrada Interactive LLC
2015,Valve
2015,Digital Extremes
2015,Twice Circled
2015,Paradox Development Studio
2015,tobyfox
2014,Arrowhead Game Studios
2014,Double Fine Productions
2014,Coffee Stain Studios
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,Bohemia Interactive
2014,Cryptic Studios
2015,Telltale Games
2015,Holotech Studios
2014,Meridian4
2015,Halfbus
2015,Racing Bros
2015,Valve
2014,Rockstar Games
2014,Creative Assembly
2013,Valve
2015,Telltale Games
2015,Square Enix
2015,Valve
2014,Smartly Dressed Games
2013,Valve
2015,Treyarch
2014,Capcom Game Studio Vancouver
2013,Bohemia Interactive
2015,"Jagex,Artplant"
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2014,Wild Shadow Studios
2014,Valve
2015,Valve
2015,Reto-Moto
2015,"Rocketeer Games Studio, LLC"
2014,Nexon
2015,"Atari, Cubed Productions LLC"
2015,"FIX Korea, Co.LTD,FIX Games, Co. LTD"
2015,Digital Extremes
2015,"Trek Industries, Inc"
2015,"IMCGAMES Co.,Ltd."
2015,"Sledgehammer Games,Raven Software"
2014,DICE
2015,Telltale Games
2015,Visual Concepts
2015,Awesome Games Studio
2015,Full Control
2015,Ubisoft Montreal
2014,"The Quinnspiracy,Patrick Lindsey,Isaac Schankler"
2015,Smartly Dressed Games
2015,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)"
2015,Robotronic Games
2014,"Trion Worlds, Inc."
2015,Bitbox Ltd.
2015,"NetherRealm Studios,High Voltage Software"
2015,Valve
2014,Bohemia Interactive
2015,Volition
2015,Reloaded Productions
2015,Trion Worlds
2015,Hello Games
2015,Poppermost Productions
2014,Bohemia Interactive
2014,Smartly Dressed Games
2013,Creative Assembly
2015,Valve
2014,"Zaxis Games,B-evil"
2015,Edge of Reality
2013,"Infinity Ward,Aspyr (Mac)"
2015,"Deep Silver Volition,High Voltage Software"
2015,"HANBITSOFT, INC.,IMC GAMES CO.,LTD."
2015,Daedalic Entertainment
2015,Ubisoft Montreal
2015,Digitalmindsoft
2015,Fullbright
2014,Deep Silver Volition
2015,Telltale Games
2015,Endless Loop Studios
2014,Ragequit Corporation
2015,Hello Games
2014,Bitbox Ltd.
2014,"Infinity Ward,Aspyr (Mac)"
2015,Diminished Studios
2015,Boneloaf
2015,id Software
2014,Edge of Reality
2015,Rocksteady Studios
2015,Reto-Moto
2013,Facepunch Studios
2014,Rebellion
2015,"Elias Viglione,Jussi Kukkonen"
2015,"BitMonster, Inc."
2014,"CINEMAX, s.r.o."
2013,Cryptic Studios
2013,"Monolith Productions, Inc."
2014,No More Room in Hell Team
2014,Synergy Team
2015,Massive Entertainment
2014,Treyarch
2015,Free Reign Entertainment
2015,Hello Games
2015,Rocksteady Studios
2014,FireFly Studios
2015,"Sledgehammer Games,Raven Software"
2015,Undead Labs
2014,"CI Games,Deck 13"
2015,BANDAI NAMCO Studio Inc.
2014,Egosoft
2014,Rockstar Studios
2014,Kerberos Productions
2014,"The Creative Assembly,Feral Interactive (Mac)"
2014,Endnight Games Ltd
2014,Forever Entertainment S. A.
2015,Valve
2015,Treyarch
2015,DL Softworks
2014,Ubisoft Montreal
2015,[geim].pro
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2014,Meridian4
2013,No More Room in Hell Team
2014,Stage 2 Studios
2015,Awesome Games Studio
2015,Reto-Moto
2015,Fabio Ferrara
2014,Edge of Reality
2014,Reloaded Productions
2014,Hi-Rez Studios
2015,Facepunch Studios
2014,Reto-Moto
2014,Facepunch Studios
2015,Torn Banner Studios
2015,Elijah Newman-Gomez
2015,Nexon
2014,Freejam
2015,Edge of Reality
2015,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai"
2015,Treyarch
2015,"Atari, Cubed Productions LLC"
2013,Valve
2015,WARTEAM
2015,Elijah Newman-Gomez
2015,Smartly Dressed Games
2015,Crows Crows Crows
2015,Splash Damage
2014,Ubisoft
2013,Daybreak Game Company
2014,Bitbox Ltd.
2015,Digitalmindsoft
2015,No More Room in Hell Team
2015,The Behemoth
2015,Artifice Studio
2014,Hitcents
2015,"Double Helix Games,Rainbow Studios,THQ Nordic"
2014,Infinity Ward
2015,Treyarch
2015,Phosphor Games Studio
2015,Fatshark
2014,Smudged Cat Games Ltd
2015,Centauri Production
2015,MURA Interactive
2015,Kyle Seeley
2015,Team Psykskallar
2015,Ubisoft Montreal
2015,Hello Games
2015,Freejam
2015,"Idea Factory,Compile Heart,Felistella"
2014,"FIX Korea, Co.LTD,FIX Games, Co. LTD"
2014,Crytek
2015,Wild Shadow Studios
2015,Rocksteady Studios
2014,Geoff Keighley
2014,Tripwire Interactive
2015,Bohemia Interactive
2014,Ubisoft
2014,Torn Banner Studios
2014,Paradox Development Studio
2015,LuGus Studios
2015,Creability
2015,"Sledgehammer Games,Raven Software"
2014,Facepunch Studios
2014,Nexon
2015,Boneloaf
2015,Exe Games Inc.
2015,Team17 Digital Ltd
2014,Valve
2013,Bethesda Game Studios
2015,Ion Storm
2015,Rune Forge
2015,"Virtual Basement LLC,Code Headquarters LLC"
2014,Edge of Reality
2014,Doctor Entertainment AB
2015,Valve
2015,Poppermost Productions
2014,Red Barrels
2015,Valve
2015,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
2015,Doctor Entertainment AB
2015,Re-Logic
2015,Capcom
2015,"Abstraction Games,WayForward"
2015,FromSoftware
2014,Lab Zero Games
2015,Trion Worlds
2015,Valve
2015,Torn Banner Studios
2013,Demiurge Studios
2015,Jagex Limited
2015,Slant Six Games
2015,Colossal Order Ltd.
2015,Visual Concepts
2014,Crytek
2014,Edge of Reality
2015,Digital Furnace Games
2015,Invent4 Entertainment
2015,Criterion Games
2015,Sven Co-op Team
2014,OVERKILL Software
2015,Dark Day Interactive
2015,Facepunch Studios
2014,Egosoft
2014,Bohemia Interactive
2015,Rail Slave Games
2015,Eko Software
2014,Infinity Ward
2015,"Monochrome, Inc"
2014,Undead Labs
2015,"Visual Concepts,Yuke's"
2015,Hello Games
2015,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)"
2015,"Upper One Games,E-Line Media"
2015,Bitbox Ltd.
2015,Avalanche Studios
2015,Valve
2014,Freejam
2015,Telltale Games
2015,Gearbox Software
2015,Reto-Moto
2015,Trion Worlds
2015,Valve
2015,KintoGames
2015,Code}{atch
2014,"JumpStart Games, Inc."
2015,Freejam
2015,X-Legend
2015,"NetherRealm Studios,High Voltage Software"
2014,Vlambeer
2014,Freejam
2015,Valve
2013,Valve
2015,Piranha Bytes
2015,"Io-Interactive A/S,Feral Interactive (Mac)"
2015,"Jagex,Artplant"
2015,"Expansive Worlds,Avalanche Studios"
2014,Introversion Software
2015,Chucklefish
2014,Facepunch Studios
2015,Valve
2014,Coffee Stain Studios
2015,Lord Kres
2014,Bohemia Interactive
2013,Coffee Stain Studios
2015,KIXEYE
2014,Sos
2015,Fabio Ferrara
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,Onson Soft
2015,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
2014,Nexon
2015,Bohemia Interactive
2015,Freejam
2014,CCP
2014,Cyanide Studios
2014,Chucklefish
2014,Entheogen Studios LLC
2015,"Firaxis Games,Aspyr (Mac, Linux)"
2015,Hello Games
2015,Treyarch
2015,Massive Entertainment
2014,Ubisoft Montreal
2015,Greenheart Games
2015,Ubisoft
2014,Daybreak Game Company
2015,Gearbox Software
2014,"JumpStart Games, Inc."
2014,Facepunch Studios
2014,Bohemia Interactive
2011,Broken Rules
2015,Sigma Team Inc.
2015,Telltale Games
2014,Lesta Studio
2014,Creative Assembly
2015,Ubisoft Montreal
2015,Bethesda Game Studios
2015,Undead Labs
2015,Bohemia Interactive
2013,Nexon
2015,Ubisoft
2015,Funcom
2015,Bohemia Interactive
2015,Kyle Seeley
2014,Gearbox Software
2014,Elijah Newman-Gomez
2014,Edge of Reality
2014,FireFly Studios
2015,Facepunch Studios
2014,Valve
2015,Free Reign Entertainment
2015,Rocksteady Studios
2015,Rocksteady Studios
2015,Hello Games
2015,Uber Entertainment
2015,Ubisoft Montreal
2015,PlazSoft
2015,Invent4 Entertainment
2015,SionoiS
2015,Valve
2015,Those Awesome Guys
2015,"Trek Industries, Inc"
2015,TB Games
2015,Valve
2015,Bohemia Interactive
2014,Coffee Stain Studios
2014,"Redlynx Ltd,Ubisoft  Shanghaï"
2015,Square Enix
2015,"NetherRealm Studios,High Voltage Software"
2014,"Gravity, Inc."
2015,Smartly Dressed Games
2015,Hello Games
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,Capcom
2015,Visual Concepts
2015,"Infinity Ward,Aspyr (Mac)"
2015,Double Action Factory
2015,Facepunch Studios
2015,Massive Entertainment
2015,Avalanche Studios
2015,Evil Tortilla Games
2013,Jagex Limited
2015,Coffee Stain Studios
2015,Eko Software
2015,OVERKILL - a Starbreeze Studio.
2015,Scott Cawthon
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,Facepunch Studios
2015,"Trek Industries, Inc"
2015,Valve
2015,Telltale Games
2015,the whale husband
2015,Benjamin Rivers Inc.
2015,Treyarch
2014,Slightly Mad Studios
2015,Trashmasters
2015,ProjectorGames
2015,Capcom
2014,"Masangsoft, Inc."
2015,"CAPCOM Co., Ltd."
2014,Handyman Studios
2015,Digitalmindsoft
2015,Valve
2014,Smartly Dressed Games
2015,Smartly Dressed Games
2014,Little Green Men Games
2014,Paradox Development Studio
2014,Bohemia Interactive
2015,Splash Damage
2014,Evil Twin Artworks
2015,Valve
2015,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)"
2014,Bohemia Interactive
2015,Hello Games
2015,Playsaurus
2015,DR Studios
2014,Valve
2015,Digital Extremes
2015,Rocksteady Studios
2015,Avalanche Studios
2015,Coffee Stain Studios
2015,Blue Mammoth Games
2015,Valve
2015,Fistful of Frags Team
2015,Reloaded Productions
2014,"FIX Korea, Co.LTD,FIX Games, Co. LTD"
2015,Valve
2014,"FIX Korea, Co.LTD,FIX Games, Co. LTD"
2015,Valve
2015,Code}{atch
2014,"FIX Korea, Co.LTD,FIX Games, Co. LTD"
2014,Capcom
2014,Criterion Games
2015,Ubisoft Montreal
2015,Campo Santo
2015,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2015,Valve
2014,Semaphore
2015,Techland
2015,Valve
2015,Hello Games
2014,Introversion Software
2015,Treyarch
2015,Bohemia Interactive
2015,"Codemasters,Feral Interactive (Linux)"
2015,Rockstar North
2015,VStep
2015,Gameguyz
2014,Noble Empire Corp.
2014,Positech Games
2015,Tango Gameworks
2015,Hello Games
2015,Bohemia Interactive
2015,"Jagex,Artplant"
2014,Introversion Software
2015,Shumkov Dmitriy
2014,Team17 Digital Ltd
2014,Capcom
2015,vikingfabian.com
2014,Valve
2015,Trion Worlds
2015,Valve
2015,Vostok Games
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,Vae Victis Games
2015,Trion Worlds
2014,Digital Extremes
2015,Avalanche Studios
2014,"Sledgehammer Games,Raven Software"
2013,Andrii Vintsevych
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,Reto-Moto
2015,Crytek
2015,Insurgency Development Team
2014,Nexon
2014,Deep Red Limited
2015,"FromSoftware, Inc"
2014,Infinity Ward
2015,The Behemoth
2015,Codemasters Studios
2014,Ubisoft
2014,Nexon
2014,Red Duck Inc.
2015,Trashmasters
2014,"The Quinnspiracy,Patrick Lindsey,Isaac Schankler"
2015,Treyarch
2014,"SkyBox Labs,Big Huge Games"
2013,Creative Assembly
2015,Reto-Moto
2015,Nexon
2014,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai"
2015,Facepunch Studios
2014,Bohemia Interactive
2015,Valve
2015,PERFECT PARALLEL
2013,Valve
2015,Reto-Moto
2015,"Eidos-Montréal,Feral Interactive (Mac)"
2015,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2013,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai"
2015,Valve
2014,Bossa Studios
2015,Zero Point Software
2014,Necrophone Games
2014,Double Fine Productions
2015,TB Games
2015,Hello Games
2015,Treyarch
2015,"NetherRealm Studios,High Voltage Software"
2015,Phosphor Games Studio
2015,Facepunch Studios
2015,Bohemia Interactive
2015,Daybreak Game Company
2015,Hello Games
2015,Daybreak Game Company
2015,Streum On Studio
2014,"Gearbox Software,Aspyr (Mac &amp; Linux)"
2015,"Sledgehammer Games,Raven Software"
2015,Turtle Rock Studios
2014,Bohemia Interactive
2015,"Jagex,Artplant"
2014,Bohemia Interactive
2014,Coffee Stain Studios
2015,Capcom
2014,Hardsuit Labs
2015,Red Hook Studios
2015,"IMCGAMES Co.,Ltd."
2015,"FromSoftware, Inc."
2015,id Software
2015,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)"
2015,Bethesda Game Studios
2015,inXile Entertainment
2015,Payload Studios
2015,Freejam
2014,Ubisoft
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,DICE
2015,Paradox Development Studio
2015,Edge of Reality
2015,Cape Copenhagen
2014,"Trek Industries, Inc"
2015,Nabi Studios
2015,Valve
2015,Treyarch
2014,Crytek
2015,Digital Leisure Inc.
2015,"Firaxis Games,Aspyr (Mac, Linux)"
2015,Bohemia Interactive
2015,Team Psykskallar
2015,Facepunch Studios
2015,"Idea Factory,Compile Heart,Sting"
2015,Treyarch
2015,KADOKAWA GAMES / GRASSHOPPER MANUFACTURE
2014,Freejam
2013,"FIX Korea, Co.LTD,FIX Games, Co. LTD"
2014,Tribute Games Inc.
2015,Valve
2015,Facepunch Studios
2014,"Skybox Labs,Hidden Path Entertainment,Ensemble Studios"
2014,Bethesda Game Studios
2015,"Jagex,Artplant"
2015,Ubisoft
2015,"Jundroo, LLC"
2015,Keen Software House
2015,Valve
2015,Ubisoft
2015,Bitbox Ltd.
2015,Hello Games
2015,Rockstar North
2015,"Trek Industries, Inc"
2015,Prism Game Studios Ltd.
2015,ProjectorGames
2014,Alexander Bruce
2014,Edmund McMillen and Florian Himsl
2015,Hostel Games
2014,Torn Banner Studios
2015,Tindalos Interactive
2014,"Expansive Worlds,Avalanche Studios"
2015,Heart Machine
2015,Splash Damage
2014,OVERKILL Software
2015,Raylight Games
2015,"Expansive Worlds,Avalanche Studios"
2015,Egosoft
2014,Cryptic Studios
2015,Doctor Entertainment AB
2015,Valve
2015,Turtle Rock Studios
2014,Vitali Kirpu
2015,Torn Banner Studios
2015,Reiza Studios
2015,"Expansive Worlds,Avalanche Studios"
2015,Hello Games
2015,Data Realms
2015,Valve
2014,Grey Havens
2015,Maxis™
2015,XLGAMES
2014,Rain Games
2015,Valve
2014,Outerlight Ltd.
2015,Facepunch Studios
2013,Infinity Ward
2014,Ubisoft
2015,Digital Extremes
2015,EA Los Angeles
2015,"Fortress Forever Development Team,Trepid Studios"
2015,Code}{atch
2014,EA Los Angeles
2014,Rockstar Studios
2014,Jagex Limited
2015,Team6 game studios B.V.
2015,"Firaxis Games,Aspyr (Mac, Linux)"
2015,Fistful of Frags Team
2015,Choice Provisions
2013,Lukewarm Media
2015,Creative Assembly
2015,Blue Mammoth Games
2015,"Tequila Works, S.L."
2014,Bossa Studios
2014,Obsidian Entertainment
2015,Hi-Rez Studios
2014,With The Love Studios
2015,Bohemia Interactive
2015,Forever Entertainment S. A.
2015,Freejam
2015,Fabio Ferrara
2015,Giants Software
2015,Creability
2015,WARTEAM
2015,Klei Entertainment
2014,"Traveller's Tales,Feral Interactive (Mac)"
2015,Invent4 Entertainment
2014,"Eric Hartman,Ben Garney,Anthony Rotondo"
2015,Avidly Wild Games
2014,Edge of Reality
2015,Facepunch Studios
2015,Ronimo Games
2015,Valve
2015,Deep Silver Volition
2015,Valve
2014,"Trek Industries, Inc"
2014,Doctor Entertainment AB
2015,Valve
2014,Bohemia Interactive
2014,Grey Havens
2014,FireFly Studios
2015,Valve
2014,"NetherRealm Studios,High Voltage Software"
2014,Dark Energy Digital Ltd.
2015,Reto-Moto
2015,Valve
2015,"Circle Five Studios,Pub Games"
2014,Ubisoft
2015,"IMCGAMES Co.,Ltd."
2013,Undead Labs
2015,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)"
2014,Torn Banner Studios
2015,"Trek Industries, Inc"
2015,Crytek
2015,Yume Creations
2015,Facepunch Studios
2015,FromSoftware
2015,Nvizzio Creations
2014,Arkavi Studios
2015,roseVeRte
2013,BlueGiant Interactive
2015,"Eden Games,Hydravision Entertainment"
2014,Eidos Interactive
2014,FromSoftware
2015,Minskworks
2014,Bohemia Interactive
2014,"Zaxis Games,B-evil"
2015,Shiro Games
2015,Team 6 Studios
2013,Jagex Limited
2015,Bohemia Interactive
2014,Idea Factory
2015,Robotronic Games
2015,Frogsong Studios AB
2015,Bohemia Interactive
2015,Reto-Moto
2014,"FIX Korea, Co.LTD,FIX Games, Co. LTD"
2014,Phosphor Games Studio
2013,Ubisoft
2014,Hardsuit Labs
2015,Treyarch
2015,Endnight Games Ltd
2015,Valve
2013,id Software
2015,Valve
2014,"FIX Korea, Co.LTD,FIX Games, Co. LTD"
2014,Nekki GmbH
2015,Code}{atch
2014,Sector3 Studios
2014,Bohemia Interactive
2014,Smartly Dressed Games
2013,Creative Assembly
2015,Facepunch Studios
2015,Reto-Moto
2014,Wild Games Studio
2015,BlankMediaGames
2015,Armature Studio
2015,Ubisoft Montreal
2015,Jarhead Games
2015,Bethesda Game Studios
2015,Dovetail Games
2015,Rocksteady Studios
2015,Smartly Dressed Games
2014,Freegamer
2015,Square Enix
2015,Valve
2014,Wild Shadow Studios
2015,Gas Powered Games
2015,"Sledgehammer Games,Raven Software"
2015,Rockstar North
2015,Machine Games
2015,Capcom
2015,Rocksteady Studios
2014,Gearbox Software
2015,Exe Games Inc.
2015,Valve
2015,Rockstar North
2014,Alan Edwardes
2015,Crytek
2014,"The Quinnspiracy,Patrick Lindsey,Isaac Schankler"
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2014,Edge of Reality
2015,Abstract Tree Studio
2015,Priority Interrupt
2015,"Trek Industries, Inc"
2015,Edge of Reality
2015,Infinity Ward
2015,"Sledgehammer Games,Raven Software"
2015,Telltale Games
2015,Paradox Development Studio
2014,Wild Shadow Studios
2015,New World Interactive
2014,Krillbite Studio
2015,Free Reign Entertainment
2015,Reloaded Productions
2015,Hardsuit Labs
2015,Valve
2014,Wild Shadow Studios
2015,Double Fine Productions
2014,Ubisoft
2015,Smartly Dressed Games
2015,Unicorn Games Studio
2013,Facepunch Studios
2014,Torn Banner Studios
2015,"Rocketeer Games Studio, LLC"
2015,Creative Assembly
2014,Phosphor Games Studio
2013,"FIX Korea, Co.LTD,FIX Games, Co. LTD"
2014,Valve
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,Greenheart Games
2014,Infinity Ward
2014,Ubisoft
2014,Ratloop Asia
2014,Ronimo Games
2014,Bohemia Interactive
2015,Quickfire Games
2015,Re-Logic
2015,Puppygames
2015,Bohemia Interactive
2014,Nexon
2014,Facepunch Studios
2015,IO Interactive
2015,Ubisoft Toronto
2014,Capcom Vancouver
2015,Kyle Seeley
2015,Konami Digital Entertainment
2015,Erik Asmussen
2014,Wild Shadow Studios
2014,Ronimo Games
2014,Reto-Moto
2015,Turtle Rock Studios
2014,Archive Entertainment
2015,Star Gem Inc.
2014,Criterion Games
2015,Bohemia Interactive
2015,Valve
2015,Valve
2015,"FIX Korea, Co.LTD,FIX Games, Co. LTD"
2015,Turtle Rock Studios
2014,"Expansive Worlds,Avalanche Studios"
2015,Ubisoft Montreal
2015,"NetherRealm Studios,High Voltage Software"
2015,MobileBits
2015,ProjectorGames
2015,Bohemia Interactive
2014,"Io-Interactive A/S,Feral Interactive (Mac)"
2015,Ensemble Studios
2015,Jagex Limited
2015,"M2H,Blackmill Games"
2015,Hello Games
2015,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)"
2014,Blackhole
2015,Bethesda Game Studios
2015,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai"
2013,Infinity Ward
2015,Valve
2015,Vortal Storm
2015,Eugen Systems
2015,"Skybox Labs,Hidden Path Entertainment,Ensemble Studios"
2015,id Software
2014,Valve
2015,Bohemia Interactive
2015,Bohemia Interactive
2015,Bohemia Interactive
2015,TB Games
2015,Hello Games
2015,"Fabio Ferrara,Davide Caio,Nicolò Azzolini,Antonio Carcagnì,Luigi Di Guida,Tommaso Vita"
2015,Trendy Entertainment
2015,Bohemia Interactive
2015,Red Hook Studios
2015,"CI Games,Deck 13"
2015,Hello Games
2015,Square Enix
2015,Treyarch
2015,Valve
2015,Edge of Reality
2015,Smartly Dressed Games
