año,developer
2015,"Deep Silver Volition,High Voltage Software"
2014,"Expansive Worlds,Avalanche Studios"
2015,Hello Games
2015,Team 6 Studios
2015,Coffee Stain Studios
2015,David OReilly
2015,Digital Extremes
2015,Avalanche Studios
2015,Nexon
2015,Re-Logic
2015,Valve
2014,Ubisoft Montreal
2015,Rockstar North
2015,Bethesda Game Studios
2015,Edge Case Games Ltd.
2015,Juicy Beast Studio
2015,Hello Games
2015,Reto-Moto
2014,Big Robot Ltd
2015,Bohemia Interactive
2014,"Gearbox Software,Aspyr (Mac &amp; Linux)"
2015,Ubisoft Montreal
2015,"LucasArts,Aspyr Studios"
2014,Capcom Vancouver
2015,SnoutUp
2015,tobyfox
2014,Invent4 Entertainment
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2014,Fullbright
2015,"NetherRealm Studios,High Voltage Software"
2015,Bohemia Interactive
2014,"Trek Industries, Inc"
2015,Valve
2015,Valve
2015,Andrii Vintsevych
2015,Jagex Limited
2015,Reto-Moto
2015,Wild Shadow Studios
2015,"LucasArts,Aspyr Studios"
2015,Lightmare Studio
2014,Valve
2015,Scott Cawthon
2015,Blue Byte
2014,Silesia Games Sp. z o.o.
2015,NEXON Korea Corp.
2015,Bohemia Interactive
2014,Blit Software
2014,Smartly Dressed Games
2014,Edge of Reality
2014,Daybreak Game Company
2015,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)"
2014,IF Studios
2015,Numinous Games
2015,Valve
2015,Reto-Moto
2014,Valve
2015,Croteam
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2014,Infinity Ward
2014,OVERDRIVE
2015,Valve
2014,Freejam
2014,Reloaded Productions
2015,"Eidos Montreal,Feral Interactive (Linux),Feral Interactive (Mac)"
2015,Freejam
2014,Tribute Games Inc.
2014,Crytek
2015,"Rogue Star,Boreal Sun,Spider,Deadman"
2015,OVERKILL Software
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,Code}{atch
2015,Limbic Entertainment
2015,Cadence Games
2015,Tripwire Interactive
2015,Massive Entertainment
2014,Valve
2014,Wild Shadow Studios
2014,Deep Silver Volition
2013,Infinity Ward
2014,Freejam
2014,Ubisoft Montreal
2015,Fullbright
2014,Telltale Games
2014,Creative Assembly
2015,"Creative Assembly, PC Port - Hardlight"
2015,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
2014,"Expansive Worlds,Avalanche Studios"
2014,"Trek Industries, Inc"
2014,"Trek Industries, Inc"
2015,Cryptic Studios
2015,Ankama Studio
2015,Piranha Games Inc.
2015,Unknown Worlds Entertainment
2015,Splash Damage
2014,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
2014,Egosoft
2015,Turtle Rock Studios
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2014,Headup Games / Crenetic
2015,Telltale Games
2015,Jagex Limited
2015,Freejam
2015,Holotech Studios
2014,FireFly Studios
2014,Techland
2015,BlankMediaGames
2014,Bohemia Interactive
2015,"Monolith Productions, Inc."
2015,Facepunch Studios
2013,Valve
2015,Ion Storm
2014,Valve
2014,Crytek
2014,Valve
2015,Team Psykskallar
2015,Telltale Games
2014,Actalogic
2015,Creative Assembly
2015,Black Forest Games
2015,Joycity
2015,Ubisoft Montreal
2015,Dovetail Games
2015,Freejam
2015,Noble Empire Corp.
2015,Digital Dawn Studios
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,Microblast Games
2015,Valve
2014,CCP
2014,Wild Shadow Studios
2015,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
2015,Valve
2015,Treyarch
2015,ACQUIRE Corp.
2015,Running With Scissors
2015,"Bluehole, Inc."
2014,"Expansive Worlds,Avalanche Studios"
2014,id Software
2015,Archive Entertainment
2014,Muse Games
2015,Edge Case Games Ltd.
2015,"Psyonix, Inc."
2014,Valve
2015,Deep Silver Volition
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2014,Smartly Dressed Games
2014,No More Room in Hell Team
2015,Reloaded Productions
2014,Gaijin Games
2015,Treyarch
2014,Valve
2015,DotEmu
2015,Hardsuit Labs
2014,Bohemia Interactive
2015,Mouldy Toof Studios
2015,Vostok Games
2014,Trashmasters
2015,Treyarch
2014,Bohemia Interactive
2013,Andrii Vintsevych
2015,"Henrique Pegacha,Rafael Lima,Nuno Guerreiro"
2014,"Big Huge Games,38 Studios"
2015,Marie Ronnaux Games
2015,Avalanche Studios
2015,Zenimax Online Studios
2014,Star Gem Inc.
2014,"Trek Industries, Inc"
2015,Splash Damage
2015,Paradox Development Studio
2013,"M2H,Blackmill Games"
2015,Splash Damage
2014,Jagex Limited
2015,Handyman Studios
2014,"Xavi Canal, Ben Palgi"
2015,"NetherRealm Studios,High Voltage Software"
2015,CSR-Studios
2015,Racing Bros
2015,Bohemia Interactive
2014,Stardock Entertainment
2015,HyperSloth
2015,Smartly Dressed Games
2015,Avalanche Studios
2014,XYLA Entertainment
2014,Reloaded Productions
2014,Deep Silver Volition
2014,Edge of Reality
2014,"Expansive Worlds,Avalanche Studios"
2015,Kyle Seeley
2014,Reloaded Productions
2015,Offworld Industries
2015,Freejam
2015,New World Interactive
2014,Bohemia Interactive
2014,Jagex Limited
2015,Shark Punch
2015,Bugbear
2015,Freejam
2013,"EA - Maxis,Aspyr (Mac)"
2013,"Tequila Works, S.L."
2015,Bohemia Interactive
2015,Treyarch
2015,5Wolf
2014,Reto-Moto
2015,Smartly Dressed Games
2015,Zenimax Online Studios
2015,Madruga Works
2015,Paradox Development Studio
2015,Aspyr Studios
2015,Bethesda Game Studios
2014,Reverie World Studios
2015,Valve
2015,Reto-Moto
2015,Hello Games
2014,Valve
2015,Creative Assembly
2014,"Noviy Disk,Lesta Studios Inc"
2015,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
2015,Limbic Entertainment
2013,Facepunch Studios
2015,BRHP
2013,Wild Shadow Studios
2014,Chucklefish
2015,"Sledgehammer Games,Raven Software"
2015,Entrada Interactive LLC
2015,Freejam
2013,Double Fine Productions
2014,Fullbright
2015,Turtle Rock Studios
2014,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)"
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2014,"Expansive Worlds,Avalanche Studios"
2014,Mechanist Games
2015,Undead Labs
2015,Valve
2014,Facepunch Studios
2015,Valve
2015,Mad Otter Games
2014,Airtight Games
2013,"M2H,Blackmill Games"
2015,Hardsuit Labs
2015,Microblast Games
2015,Squad
2015,Daniel Mullins Games
2014,Reloaded Productions
2015,"Jagex,Artplant"
2015,"Amaranth Games, LLC"
2014,Archive Entertainment
2014,Uber Entertainment
2014,Smartly Dressed Games
2015,Reto-Moto
2015,"Rocketeer Games Studio, LLC"
2015,"BadFly Interactive, a.s."
2015,"BioWare,Aspyr (Mac)"
2014,Valve
2011,1C Company
2015,"Marvelous, Inc."
2014,Sector3 Studios
2015,"Jagex,Artplant"
2015,Facepunch Studios
2015,Valve
2015,Jagex Limited
2015,Rockstar North
2015,Facepunch Studios
2015,Endnight Games Ltd
2014,Ronimo Games
2015,"Team NINJA,KOEI TECMO GAMES CO., LTD."
2015,Hello Games
2015,Shumkov Dmitriy
2015,Puny Human
2015,Valve
2014,Konstantin Koshutin
2014,"WB Games Montreal,Splash Damage"
2015,SEGA
2015,Digital Extremes
2015,Fallen Snow Studios
2015,Nexon
2015,Treyarch
2014,Wild Games Studio
2015,Reto-Moto
2015,Exe Games Inc.
2014,Psychic Software
2014,Phosphor Games Studio
2014,Valve
2014,Coffee Stain Studios
2014,"Trek Industries, Inc"
2015,2Play
2014,Krillbite Studio
2015,New World Interactive
2014,Daybreak Game Company
2015,Hi-Rez Studios
2014,Phosphor Games Studio
2015,Ivory Tower in collaboration with Ubisoft Reflections
2015,Valve
2015,Telltale Games
2015,Facepunch Studios
2015,Freakinware Limited
2015,Wild Shadow Studios
2015,Tesseract Interactive
2015,Rockstar North
2013,Jagex Limited
2015,Bohemia Interactive
2015,Retro Yeti Games
2015,Hardsuit Labs
2013,Streum On Studio
2015,Bohemia Interactive
2015,Introversion Software
2014,"Trion Worlds, Inc."
2014,Edge of Reality
2014,The Sims Studio
2014,Reloaded Productions
2015,Hello Games
2014,Archive Entertainment
2015,Remedy Entertainment
2014,Coffee Stain Studios
2015,"NetherRealm Studios,High Voltage Software"
2015,Entrada Interactive LLC
2014,Valve
2015,Valve
2015,Valve
2014,Valve
2014,Kukouri
2015,Facepunch Studios
2015,"Sledgehammer Games,Raven Software"
2014,Reto-Moto
2015,Beam Team Games
2014,Valve
2015,Rail Slave Games
2014,Edge of Reality
2014,FromSoftware
2015,Hello Games
2015,Dan Walters
2015,Hello Games
2015,Rocksteady Studios
2015,Valve
2015,"NetherRealm Studios,High Voltage Software"
2014,Reality Pump
2015,Bohemia Interactive
2015,WeMade
2015,Telltale Games
2014,Ragequit Corporation
2015,New World Interactive
2014,Valve
2015,"Sledgehammer Games,Raven Software"
2014,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai"
2015,tobyfox
2015,Code}{atch
2014,Fullbright
2015,Valve
2015,Avalanche Studios
2014,Codemasters
2015,Tango Gameworks
2015,Hello Games
2014,Chucklefish
2015,Nexon
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2014,Bohemia Interactive
2013,Infinity Ward
2015,Valve
2015,Shield Break Studios
2014,Brain Bombers
2015,Colossal Order Ltd.
2014,Square Enix
2015,Konami Digital Entertainment
2014,Nomad Games
2015,Orange_Juice
2015,Gearbox Software
2015,Bongfish GmbH
2015,Turtle Rock Studios
2015,Fatshark
2015,Bohemia Interactive
2015,Reto-Moto
2015,Freejam
2015,Crazy Moo Games
2014,Arrowhead Game Studios
2014,Black Element
2015,Hardsuit Labs
2015,Massive Entertainment
2015,Treyarch
2014,Capcom Game Studio Vancouver
2015,Codemasters
2014,The Behemoth
2015,"Sledgehammer Games,Raven Software"
2015,Mohawk Games
2014,"SNK CORPORATION,DotEmu"
2015,Creative Assembly
2014,"Monochrome, Inc"
2014,Sector3 Studios
2015,Valve
2014,Bohemia Interactive
2014,Bohemia Interactive
2014,Smartly Dressed Games
2014,"2K Czech,Feral Interactive (Mac)"
2014,Avalanche Studios
2013,Bedlam Games
2014,Rebellion
2014,"PopCap Games, Inc."
2014,Bohemia Interactive
2014,Aleksey Abramenko
2015,Rebellion
2014,Treyarch
2014,id Software
2015,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)"
2014,"Trek Industries, Inc"
2015,Valve
2015,Ubisoft
2015,"Virtual Basement LLC,Code Headquarters LLC"
2014,Invent4 Entertainment
2014,FromSoftware
2014,FireFly Studios
2015,Bohemia Interactive
2015,Valve
2014,EA Los Angeles
2015,Bossa Studios
2015,Hesketh Studios
2014,"Trion Worlds, Inc."
2015,Offworld Industries
2014,Facepunch Studios
2015,Cyanide Studios
2015,New World Interactive
2015,Hello Games
2015,"Volition,Reactor Zero,THQ Nordic"
2015,Elijah Newman-Gomez
2015,"IMCGAMES Co.,Ltd."
2015,Robot Entertainment
2015,Oddworld Inhabitants
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,Treyarch
2014,Valve
2015,Facepunch Studios
2014,Edge of Reality
2014,3909
2014,Nadeo
2015,Hello Games
2014,Bohemia Interactive
2014,No More Room in Hell Team
2014,"PopTop Software,BreakAway Games,Frog City Software"
2014,Nom Nom Games
2014,Egosoft
2014,Blendo Games
2015,SEGA
2014,Ubisoft
2015,GameORE
2015,Straight Right
2015,"CAPCOM Co., Ltd."
2014,DoubleDutch Games
2015,Rockstar North
2015,Valve
2014,OVERKILL - a Starbreeze Studio.
2013,Reloaded Productions
2015,Sky Drake Studios
2015,Smartly Dressed Games
2014,Phosphor Games Studio
2015,"Fabio Ferrara,Davide Caio,Nicolò Azzolini,Antonio Carcagnì,Luigi Di Guida,Tommaso Vita"
2015,"FIX Korea, Co.LTD,FIX Games, Co. LTD"
2015,Nexon
2015,Coffee Stain Studios
2015,Frozenbyte
2015,"Tequila Works, S.L."
2015,Reloaded Productions
2015,Tlön Studios
2015,"Pixel Dash Studios, EQgames"
2015,Fatshark
2015,KITATUS STUDIOS
2015,Valve
2014,Facepunch Studios
2015,"Fabio Ferrara,Davide Caio,Nicolò Azzolini,Antonio Carcagnì,Luigi Di Guida,Tommaso Vita"
2014,"Expansive Worlds,Avalanche Studios"
2015,"Jagex,Artplant"
2014,Nival
2015,Treyarch
2015,Hello Games
2014,Bohemia Interactive
2014,"Expansive Worlds,Avalanche Studios"
2015,Rockstar North
2015,Uber Entertainment
2013,Digerati Distribution
2013,No More Room in Hell Team
2014,Grey Havens
2015,Back To Basics Gaming
2015,"gord10,Aslan Game Studio"
2015,Wild Shadow Studios
2013,Snowbird Games
2015,Team Psykskallar
2015,Bohemia Interactive
2015,Critical Studio
2014,Facepunch Studios
2015,"NetherRealm Studios,High Voltage Software"
2014,"Signal Studios,Krome Studios"
2014,Valve
2015,Aspyr
2015,Valve
2014,Zero Point Software
2014,Blue Isle Studios
2014,9heads Game Studios
2014,Bohemia Interactive
2015,Torn Banner Studios
2015,Focus Home Interactive
2015,Tripwire Interactive
2015,Facepunch Studios
2015,Digital Extremes
2015,Valve
2014,Threaks
2014,Valve
2015,Valve
2015,Konami Digital Entertainment
2015,Torn Banner Studios
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,Valve
2014,Crytek
2015,DotEmu
2014,Geoff Keighley
2015,Edge Case Games Ltd.
2015,Digital Extremes
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2014,Terry Cavanagh
2014,ProjectorGames
2015,Valve
2014,Edmund McMillen and Florian Himsl
2015,Hello Games
2014,Devil's Details
2015,Valve
2015,oddonegames
2014,Valve
2014,Bohemia Interactive
2015,"IDEA FACTORY Co., Ltd.,COMPILE HEART Co., Ltd.,FELISTELLA Co., Ltd."
2015,Facepunch Studios
2015,Joycity
2015,Hardsuit Labs
2014,Grey Havens
2015,InvertMouse
2014,STUDIO RADI-8
2015,Bohemia Interactive
2014,Keen Games
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,New World Interactive
2014,Wild Shadow Studios
2015,Smartly Dressed Games
2014,Rail Slave Games
2015,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev"
2015,Vertigo Games
2015,Telltale Games
2014,Facepunch Studios
2014,Crytek
2014,DICE
2014,Endnight Games Ltd
2015,Rockstar North
2015,KOG
2014,Pandemic Studios
2013,Terry Cavanagh
2013,Ed Key and David Kanaga
2015,Touz
2015,Facepunch Studios
2015,Wild Shadow Studios
2014,Jagex Limited
2015,Valve
2014,Endnight Games Ltd
2015,Facepunch Studios
2014,Suspicious Developments
2015,Pieces Interactive
2015,SCS Software
2014,"Sledgehammer Games,Raven Software"
2014,Bossa Studios
2015,Valve
2014,"Trek Industries, Inc"
2014,Smartly Dressed Games
2015,"KOEI TECMO GAMES CO., LTD."
2015,Reto-Moto
2014,Arrowhead Game Studios
2015,Facepunch Studios
2015,Treyarch
2014,City Interactive
2015,"NetherRealm Studios,High Voltage Software"
2014,KADOKAWA
2014,Meridian4
2014,Cyanide Studio
2014,Ronimo Games
2015,Valve
2014,Starbreeze
2015,Crowbar Collective
2015,Core Design
2013,Polytron Corporation
2014,9heads Game Studios
2014,Bohemia Interactive
2014,Infinity Ward
2013,Reloaded Productions
2014,Valve
2015,Polytron Corporation
2014,Minor Key Games
2014,Freejam
2013,Blendo Games
2015,Valve
2015,Bohemia Interactive
2014,"Atari, Cubed Productions LLC"
2014,Crytek
2015,Reloaded Productions
2015,Vostok Games
2014,"Hopoo Games, LLC"
2015,Square Enix
2014,U.S. Army
2014,Freejam
2015,Net Games Laboratory
2013,Gravity Interactive
2014,Ubisoft
2014,Tripwire Interactive
2014,Digital Extremes
2015,"Eidos-Montréal,Feral Interactive (Mac)"
2015,Tripwire Interactive
2015,Creative Assembly
2014,Valve
2015,Rockstar North
2014,"Expansive Worlds,Avalanche Studios"
2013,Positech Games
2013,MinMax Games Ltd.
2015,Splash Damage
2014,Rebellion
2014,Valve
2014,Valve
2014,"Expansive Worlds,Avalanche Studios"
2014,Invent4 Entertainment
2015,Alientrap
2015,Scott Cawthon
2015,Reloaded Productions
2015,"Rocketeer Games Studio, LLC"
2014,Edge of Reality
2014,Krillbite Studio
2015,Valve
2015,Reloaded Productions
2014,"Expansive Worlds,Avalanche Studios"
2015,Fullbright
2015,Bohemia Interactive
2015,Rockstar North
2015,Reto-Moto
2014,"Sledgehammer Games,Raven Software"
2015,"Creative Assembly,Feral Interactive (Linux),Feral Interactive (Mac)"
2013,"NetherRealm Studios,High Voltage Software"
2014,Trashmasters
2015,"Monochrome, Inc"
2015,Piranha Bytes
2015,Nexon
2015,Double Fine Productions
2014,"Eric Hartman,Ben Garney,Anthony Rotondo"
2013,Nadeo
2015,Valve
2014,Noble Empire Corp.
2014,Crytek
2015,Treyarch
2015,Visual Concepts
2014,Three Rings
2014,Nexon
2014,KOG
2015,Rockstar North
2014,Facepunch Studios
2015,"Rocketeer Games Studio, LLC"
2015,New World Interactive
2015,5th Cell Media
2015,Teotl Studios
2014,"Gearbox Software,Aspyr (Mac &amp; Linux)"
2015,Valve
2015,Blue Byte
2015,Fancy Fish Games
2014,"Trek Industries, Inc"
2014,"Team Bondi,Rockstar Leeds"
2015,Splash Damage
2014,"FIX Korea, Co.LTD,FIX Games, Co. LTD"
2015,Free Reign Entertainment
2015,Valve
2014,Jagex Limited
2015,Shumkov Dmitriy
2015,Climax Studios
2013,Bohemia Interactive
2015,Code}{atch
2015,Bitbox Ltd.
2014,Bohemia Interactive
2014,Facepunch Studios
2015,Rockstar North
2014,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)"
2015,Facepunch Studios
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,"Tlön Studios,Ilex Games"
2015,Treyarch
2013,Infinity Ward
2014,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)"
2015,Facepunch Studios
2013,Archive Entertainment
2015,Valve
2015,Reto-Moto
2015,"Sledgehammer Games,Raven Software"
2015,Coffee Stain Studios
2014,Shiver Games
2015,Ubisoft Montreal
2015,"NetherRealm Studios,High Voltage Software"
2015,Valve
2015,"Psyonix, Inc."
2015,Opus
2015,Facepunch Studios
2015,Freejam
2014,Traveller's Tales
2015,Jagex Limited
2015,"Redlynx Ltd,Ubisoft  Shanghaï"
2015,"Skybox Labs,Hidden Path Entertainment,Ensemble Studios"
2015,Valve
2014,Day 1 Studios
2014,Bohemia Interactive
2015,"Expansive Worlds,Avalanche Studios"
2015,Beam Team Games
2015,Infinity Ward
2013,Valve
2015,"Nina Freeman,Laura Knetzger,Stephen Lawrence Clark"
2014,Smartly Dressed Games
2014,Daybreak Game Company
2014,Endnight Games Ltd
2015,Bankroll Studios
2015,Scott Cawthon
2015,Arrowhead Game Studios
2014,ACE Team
2014,"CI Games,Deck 13"
2015,Mouldy Toof Studios
2014,DICE
2015,Archive Entertainment
2014,Valve
2013,Creative Assembly
2015,Rocksteady Studios
2015,Telltale Games
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,Treyarch
2013,Andrii Vintsevych
2014,"CAPCOM Co., Ltd."
2015,Hardsuit Labs
2015,Crian Soft
2014,800 North and Digital Ranch
2013,Terry Cavanagh
2015,Valve
2015,TaleWorlds Entertainment
2015,Paradox Development Studio
2015,Trendy Entertainment
2014,Eric Provan - Ayyo Games
2014,Crackshell
2014,DICE
2014,Facepunch Studios
2014,Wild Games Studio
2015,Jagex Limited
2015,Splash Damage
2014,Crytek
2015,"Signal Studios,Smart Ghost"
2014,"Monochrome, Inc"
2014,Cryptic Studios
2014,New World Interactive
2015,Digital Extremes
2015,777 Studios
2014,Ubisoft
2015,"Monolith Productions, Inc."
2015,Smartly Dressed Games
2015,Valve
2015,Reto-Moto
2014,Valve
2013,Daybreak Game Company
2014,Edge of Reality
2015,Facepunch Studios
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2015,"Gearbox Software,Aspyr (Mac &amp; Linux)"
2014,Awesome Games Studio
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2014,Reto-Moto
2015,Smartly Dressed Games
2014,"Trek Industries, Inc"
2015,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev"
2013,FireFly Studios
2013,Gaijin Games
2015,"TaleWorlds Entertainment,Flying Squirrel Entertainment"
2014,Treyarch
2015,Valve
2014,"Sledgehammer Games,Raven Software"
2013,Facepunch Studios
2014,Elijah Newman-Gomez
2014,Hardsuit Labs
2014,Phosphor Games Studio
2015,Yager Development
2015,Smartly Dressed Games
2015,Chucklefish
2015,Trion Worlds
2015,Bohemia Interactive
2014,Edge of Reality
2014,GSC Game World
2014,Smartly Dressed Games
2014,Bossa Studios
2014,Secret Exit Ltd.
2015,Tribe Studios
2015,Freejam
2015,"BitMonster, Inc."
2015,Messhof
2014,Valve
2014,"FIX Korea, Co.LTD,FIX Games, Co. LTD"
2014,"Masangsoft, Inc."
2014,Nabi Studios
2015,Bohemia Interactive
2015,"Psyonix, Inc."
2015,Smartly Dressed Games
2015,Wolfire Games
2014,Traveller's Tales
2014,Phosphor Games Studio
2015,Axolot Games
2014,Treyarch
2015,Mad Otter Games
2015,Bohemia Interactive
2014,Digital Extremes
2014,Suspicious Developments
2015,Telltale Games
2014,Telltale Games
2014,No More Room in Hell Team
2015,"The Quinnspiracy,Patrick Lindsey,Isaac Schankler"
2015,Rocksteady Studios
2014,Nabi Studios
2014,Valve
2013,Infinity Ward
2015,"FIX Korea, Co.LTD,FIX Games, Co. LTD"
2015,Wild Shadow Studios
2015,Freejam
2014,Mode 7
2014,OVERKILL - a Starbreeze Studio.
2015,"AlPixel Games,Luis Diaz,Gustavo Santos,Albert Fernandez,Tice Thomason"
2015,Valve
2015,Snowblind Studios
2014,Infinity Ward
2015,Hello Games
2015,Valve
2015,Stainless Games Ltd.
2015,Facepunch Studios
2015,Techland
2013,Jagex Limited
2013,Valve
2015,DiggerWorld Ltd.
2015,Digital Extremes
2015,Reto-Moto
2015,Microblast Games
2015,Valve
2015,Cherry Pop Games
2015,Bohemia Interactive
2014,Muse Games
2015,Blue Byte
2014,"Monolith Productions, Inc."
2015,"Gearbox Software,Aspyr (Mac &amp; Linux)"
2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
2014,Bohemia Interactive
2015,Shumkov Dmitriy
2015,Nomad Games
2015,Shortbreak Studios s.c.
2015,Re-Logic
2014,Microblast Games
2015,Free Reign Entertainment
2015,"Atari, Cubed Productions LLC"
2015,Valve
2014,Tribe Studios
2014,Edge of Reality
2014,Facepunch Studios
2014,Sixense
2014,Wild Shadow Studios
2014,Archive Entertainment
2015,"Syrin Studios,Small Impact Games"
2015,Smartly Dressed Games
2014,Bohemia Interactive
2015,Ubisoft Montreal
2014,Frogwares
2015,Treyarch
2015,JDM4iK
2015,ShaunJS
2015,"Sledgehammer Games,Raven Software"
2015,Visual Concepts
2015,Nexon
2015,WARTEAM
2015,Fistful of Frags Team
2015,Zenimax Online Studios
